Source          Target          Interaction
AKT             GSK3            Inhibitory
AKT             IKK             Activating
Dest_Compl      GSK3            Inhibitory
Dest_Compl      catenin_nuc     Inhibitory
AXIN2           AXIN2           Activating
AXIN2           Dest_Compl      Activating
catenin_memb    catenin_nuc     Inhibitory
catenin_memb    E_cadherin      Activating
catenin_nuc     Dest_Compl      Activating
catenin_nuc     TCF_LEF         Activating
catenin_nuc     AXIN2           Activating
catenin_nuc     catenin_memb    Inhibitory
catenin_nuc     SNAI2           Activating
TrCP            SNAI1           Inhibitory
CD44            cMet            Activating
CDC42           PAK1            Activating
c_fos           c_fos           Activating
c_fos           EGR1            Activating
CHD1L           CDC42           Activating
cMet            SOS_GRB2        Activating
cMet            SRC             Activating
Csl             HEY1            Activating
Csl             SNAI1           Inhibitory
Csn             TrCP            Inhibitory
Csn             GSK3            Activating
DELTA           NOTCH           Inhibitory
DSH             GSK3            Inhibitory
E_cadherin      catenin_memb    Activating
E_cadherin      catenin_nuc     Inhibitory
E_cadherin      EMT             Inhibitory
EGF             EGFR            Activating
EGFR            SOS_GRB2        Activating
EGFR            SRC             Activating
ERK             SNAI2           Activating
ERK             c_fos           Activating
ERK             SMAD            Activating
ERK             SOS_GRB2        Inhibitory
ERK             GSK3            Inhibitory
ERK             RKIP            Inhibitory
EGR1            SNAI1           Activating
FGF             FGFR            Activating
FGFR            SOS_GRB2        Activating
FGFR            SRC             Activating
FOXC2           E_cadherin      Inhibitory
Frizzled        DSH             Activating
FUS             SUFU            Inhibitory
GLI             SNAI1           Activating
GLI             TGF             Activating
GLI             Wnt             Activating
Goosecoid       FOXC2           Activating
Goosecoid       ZEB2            Activating
Goosecoid       TGF             Activating
Goosecoid       TWIST1          Activating
Goosecoid       SNAI1           Activating
Goosecoid       ZEB1            Activating
GSK3            SNAI1           Inhibitory
GSK3            Dest_Compl      Activating
GSK3            RAS             Inhibitory
EGFR            SOS_GRB2        Activating
EGFR            SRC             Activating
HEY1            E_cadherin      Inhibitory
HGF             cMet            Activating
HIF1            LOXL23          Activating
HIF1            TWIST1          Activating
HIF1            ZEB1            Activating
HIF1            ZEB2            Activating
Hypoxia         HIF1            Activating
IGF1            IGF1R           Activating
IGF1            SOS_GRB2        Activating
IGF1R           SRC             Activating
IKK             NFB             Activating
ILK             AKT             Activating
Jagged          NOTCH           Activating
LIV1            SNAI1           Activating
LOXL23          SNAI1           Activating
MEK             ERK             Activating
miR200          ZEB1            Inhibitory
miR200          ZEB2            Inhibitory
NFB             Csn             Activating
NFB             TWIST1          Activating
NOTCH           NOTCH_ic        Activating
NOTCH_ic        Csl             Activating
PAK1            SNAI1           Activating
Patched         SMO             Inhibitory
PDGF            PDGFR           Activating
PDGFR           SOS_GRB2        Activating
PDGFR           SRC             Activating
PI3K            AKT             Activating
RAF             MEK             Activating
RAS             DELTA           Activating
RAS             PI3K            Activating
RAS             RAF             Activating
RKIP            MEK             Inhibitory
SNAI2           E_cadherin      Inhibitory
SNAI2           SNAI2           Activating
SMAD            HEY1            Activating
SMAD            ILK             Activating
SMAD            Jagged          Activating
SMAD            SHH             Activating
SMAD            SNAI1           Activating
SMO             FUS             Activating
SNAI1           E_cadherin      Inhibitory
SNAI1           FOXC2           Activating
SNAI1           ZEB1            Activating
SNAI1           ZEB2            Activating
SNAI1           miR200          Inhibitory
SNAI1           RKIP            Inhibitory
SNAI1           SNAI1           Inhibitory
SNAI1           TGF             Activating
SNAI1           TWIST1          Activating
SOS_GRB2        RAS             Activating
SHH             Patched         Inhibitory
SRC             RAS             Activating
SRC             STAT            Activating
STAT            LIV1            Activating
SUFU            catenin_nuc     Inhibitory
SUFU            GLI             Inhibitory
TCF_LEF         AXIN2           Activating
TCF_LEF         CD44            Activating
TCF_LEF         GLI             Activating
TCF_LEF         Jagged          Activating
TCF_LEF         RAS             Activating
TCF_LEF         TWIST1          Activating
TGF             TGFR            Activating
TGFR            CDC42           Activating
TGFR            SOS_GRB2        Activating
TGFR            SMAD            Activating
TWIST1          E_cadherin      Inhibitory
TWIST1          FOXC2           Activating
TWIST1          SNAI2           Activating
TWIST1          TGF             Activating
Wnt             Frizzled        Activating
ZEB1            E_cadherin      Inhibitory
ZEB1            miR200          Inhibitory
ZEB1            SMAD            Activating
ZEB2            E_cadherin      Inhibitory
ZEB2            miR200          Inhibitory
ZEB2            SMAD            Inhibitory
